bias_abs_V,input_a_V,input_b_V,common_V,output_A,effective_mA,delta_M_independent
8.0,0.0,0.0,-4.064649110978405,-0.012945233187571036,12.945233187571036,0.0
8.0,0.16399999999999998,0.0,-4.013987324459171,-0.013111883801121148,13.111883801121149,0.0
8.0,0.32799999999999996,0.0,-3.9633255379399355,-0.013278534414671264,13.278534414671265,0.0
8.0,0.49199999999999994,0.0,-3.912663751420701,-0.013445185028221378,13.445185028221378,0.0
8.0,0.6559999999999999,0.0,-3.8620019649014656,-0.013611835641771495,13.611835641771494,0.0
8.0,0.8199999999999998,0.0,-3.811340178382231,-0.013778486255321609,13.778486255321608,0.0
8.0,0.9839999999999999,0.0,-3.760678391862996,-0.013945136868871725,13.945136868871725,0.0
8.0,1.148,0.0,-3.7100166053437613,-0.014111787482421837,14.111787482421837,0.0
8.0,1.3119999999999998,0.0,-3.6593548188245264,-0.014278438095971952,14.278438095971952,0.0
8.0,1.4759999999999998,0.0,-3.6086930323052915,-0.014445088709522068,14.445088709522068,0.0
8.0,1.6399999999999997,0.0,-3.558031245786057,-0.01461173932307218,14.61173932307218,0.0
8.0,1.8039999999999998,0.0,-3.5073694592668216,-0.014778389936622296,14.778389936622297,0.0
8.0,1.9679999999999997,0.0,-3.456707672747587,-0.01494504055017241,14.945040550172411,0.0
8.0,2.1319999999999997,0.0,-3.4060458862283522,-0.015111691163722527,15.111691163722528,0.0
8.0,2.296,0.0,-3.3553840997091173,-0.015278341777272641,15.278341777272642,0.0
8.0,2.4599999999999995,0.0,-3.3047223131898824,-0.015444992390822754,15.444992390822755,0.0
8.0,2.6239999999999997,0.0,-3.254060526670648,-0.01561164300437287,15.61164300437287,0.0
8.0,2.788,0.0,-3.203398740151413,-0.015778293617922982,15.778293617922982,0.0
8.0,2.9519999999999995,0.0,-3.152736953632178,-0.015944944231473097,15.944944231473096,0.0
8.0,3.1159999999999997,0.0,-3.1020751671129427,-0.016111594845023215,16.111594845023216,0.0
8.0,3.2799999999999994,0.0,-3.0514133805937083,-0.01627824545857333,16.27824545857333,0.0
8.0,3.4439999999999995,0.0,-3.000751594074474,-0.01644489607212344,16.44489607212344,0.0
8.0,3.6079999999999997,0.0,-2.9500898075552384,-0.016611546685673557,16.611546685673556,0.0
8.0,3.7719999999999994,0.0,-2.899428021036004,-0.016778197299223672,16.77819729922367,0.0
8.0,3.9359999999999995,0.0,-2.8487662345167695,-0.016944847912773783,16.94484791277378,0.0
8.0,4.1,0.0,-2.798104447997534,-0.0171114985263239,17.1114985263239,0.0004941427217368122
8.0,4.263999999999999,0.0,-2.747442661478299,-0.017278149139874015,17.278149139874014,0.00130173321941085
8.0,4.427999999999999,0.0,-2.696780874959065,-0.017444799753424126,17.444799753424125,0.0021998975549258337
8.0,4.592,0.0,-2.64611908843983,-0.017611450366974243,17.611450366974243,0.0031982439546334174
8.0,4.755999999999999,0.0,-2.595457301920595,-0.017778100980524358,17.778100980524357,0.004307267797242276
8.0,4.919999999999999,0.0,-2.54479551540136,-0.017944751594074475,17.944751594074475,0.005538401519936009
8.0,5.084,0.0,-2.494133728882125,-0.01811140220762459,18.11140220762459,0.006904059005114427
8.0,5.247999999999999,0.0,-2.4434719423628906,-0.0182780528211747,18.2780528211747,0.008417671721195452
8.0,5.411999999999999,0.0,-2.3928101558436556,-0.01844470343472482,18.44470343472482,0.01009371330570863
8.0,5.576,0.0,-2.3421483693244207,-0.018611354048274933,18.611354048274933,0.011947708636145138
8.0,5.739999999999999,0.0,-2.291486582805186,-0.018778004661825044,18.778004661825044,0.013996222749622145
8.0,5.903999999999999,0.0,-2.2408247962859513,-0.01894465527537516,18.944655275375162,0.016256824273088444
8.0,6.068,0.0,-2.190163009766716,-0.01911130588892528,19.11130588892528,0.01874801735210646
8.0,6.231999999999999,0.0,-2.139501223247481,-0.01927795650247539,19.27795650247539,0.021489135475683374
8.0,6.395999999999999,0.0,-2.0888394367282466,-0.019444607116025504,19.444607116025505,0.024500190164456703
8.0,6.559999999999999,0.0,-2.0381776502090116,-0.019611257729575622,19.611257729575623,0.02780166731867806
8.0,6.723999999999999,0.0,-1.9875158636897767,-0.019777908343125733,19.777908343125734,0.03141426423153598
8.0,6.887999999999999,0.0,-1.936854077170542,-0.019944558956675847,19.94455895667585,0.03535856100195989
8.0,7.051999999999999,0.0,-1.8861922906513073,-0.020111209570225965,20.111209570225967,0.0396546214804665
8.0,7.215999999999999,0.0,-1.8355305041320722,-0.020277860183776076,20.277860183776077,0.04432152110214066
8.0,7.379999999999999,0.0,-1.7848687176128373,-0.020444510797326194,20.444510797326195,0.04937680213201062
8.0,7.543999999999999,0.0,-1.7342069310936028,-0.020611161410876308,20.611161410876306,0.054835861051635126
8.0,7.707999999999999,0.0,-1.6835451445743677,-0.020777812024426422,20.77781202442642,0.060711278051871764
8.0,7.871999999999999,0.0,-1.632883358055133,-0.020944462637976537,20.944462637976535,0.0670121047464372
8.0,8.036,0.0,-1.5822215715358978,-0.02111111325152665,21.11111325152665,0.0737431330091628
8.0,8.2,0.0,-1.5315597850166633,-0.021277763865076765,21.277763865076764,0.08090417480672418
8.0,8.363999999999999,0.0,-1.4808979984974286,-0.02144441447862688,21.44441447862688,0.08848938939908746
8.0,8.527999999999999,0.0,-1.4302362119781935,-0.021611065092176994,21.611065092176993,0.09648669949492289
8.0,8.691999999999998,0.0,-1.3795744254589588,-0.02177771570572711,21.777715705727108,0.10487734095712525
8.0,8.855999999999998,0.0,-1.3289126389397243,-0.021944366319277223,21.944366319277222,0.1136355905360335
8.0,9.02,0.0,-1.2782508524204885,-0.02211101693282734,22.11101693282734,0.12272871209750424
8.0,9.184,0.0,-1.227589065901254,-0.022277667546377455,22.277667546377454,0.13211715346255454
8.0,9.347999999999999,0.0,-1.1769272793820194,-0.02244431815992757,22.44431815992757,0.14175501331944268
8.0,9.511999999999999,0.0,-1.1262654928627849,-0.02261096877347768,22.61096877347768,0.1515907813380622
